,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
263,1685264400,1847.41,1844.8,1846.38,1245.52,2299165.18,1845.75,direct,
264,1685268000,1847.47,1844.09,1845.75,1734.94,3202232.32,1846.44,direct,
265,1685271600,1851.64,1844.04,1846.44,2809.77,5189690.59,1844.42,direct,
266,1685275200,1845.4,1839.22,1844.42,3603.97,6636611.17,1841.0,direct,
267,1685278800,1845.8,1841.0,1841.0,1843.7,3399158.81,1844.24,direct,
268,1685282400,1844.38,1840.23,1844.24,1990.52,3667123.65,1840.55,direct,
269,1685286000,1844.76,1838.41,1840.55,2227.87,4104849.99,1844.74,direct,
270,1685289600,1847.37,1840.39,1844.74,4673.51,8621267.84,1845.14,direct,
271,1685293200,1851.41,1842.76,1845.14,4470.58,8258005.35,1848.47,direct,
272,1685296800,1859.35,1845.11,1848.47,9220.61,17069192.02,1852.21,direct,
273,1685300400,1855.25,1846.84,1852.21,4435.75,8215157.76,1849.61,direct,
274,1685304000,1855.62,1849.6,1849.61,2600.34,4818619.86,1854.29,direct,
275,1685307600,1869.18,1854.29,1854.29,7220.43,13452630.81,1868.66,direct,
276,1685311200,1916.6,1868.66,1868.66,34597.8,65820958.13,1907.35,direct,
277,1685314800,1917.62,1907.35,1907.35,16307.42,31167531.72,1909.21,direct,
278,1685318400,1927.64,1909.16,1909.21,22286.36,42772443.74,1915.37,direct,
279,1685322000,1918.5,1913.76,1915.37,6759.34,12950920.0,1917.81,direct,
280,1685325600,1919.71,1910.37,1917.81,8954.55,17138388.32,1910.78,direct,
281,1685329200,1911.34,1902.18,1910.78,6950.3,13260782.55,1904.67,direct,
282,1685332800,1906.36,1894.01,1904.67,7436.52,14119024.76,1899.94,direct,
283,1685336400,1906.44,1899.28,1899.94,4412.66,8398252.5,1904.22,direct,
284,1685340000,1905.99,1901.93,1904.22,2642.26,5030277.16,1904.65,direct,
285,1685343600,1904.75,1896.65,1904.65,3860.09,7336006.33,1900.42,direct,
286,1685347200,1902.22,1896.51,1900.42,4260.06,8093711.52,1900.09,direct,
287,1685350800,1905.45,1899.44,1900.09,4853.76,9234796.48,1905.28,direct,
288,1685354400,1905.8,1895.27,1905.28,4847.03,9220746.53,1901.91,direct,
289,1685358000,1904.97,1900.25,1901.91,1919.74,3653683.57,1903.91,direct,
290,1685361600,1905.42,1897.41,1903.91,2633.54,5005543.75,1898.76,direct,
291,1685365200,1903.27,1896.9,1898.76,4572.46,8686850.33,1900.8,direct,
292,1685368800,1903.08,1887.86,1900.8,7040.18,13340823.39,1894.64,direct,
293,1685372400,1899.58,1887.18,1894.64,12717.53,24056882.65,1889.79,direct,
294,1685376000,1891.7,1878.44,1889.79,12139.27,22883282.57,1883.81,direct,
295,1685379600,1894.23,1875.38,1883.81,9082.57,17123900.71,1891.88,direct,
296,1685383200,1895.39,1889.61,1891.88,4026.59,7620893.52,1892.0,direct,
297,1685386800,1895.56,1889.71,1892.0,2799.64,5300264.77,1891.71,direct,
298,1685390400,1895.28,1890.92,1891.71,2538.21,4806840.89,1893.5,direct,
299,1685394000,1895.49,1890.3,1893.5,2050.71,3881301.44,1891.33,direct,
300,1685397600,1893.66,1887.37,1891.33,3254.73,6152455.26,1892.68,direct,
301,1685401200,1902.23,1892.13,1892.68,7127.8,13521582.88,1893.01,direct,
302,1685404800,1894.58,1882.96,1893.01,5088.45,9613841.18,1894.23,direct,
303,1685408400,1899.66,1893.32,1894.23,4626.54,8779048.5,1898.31,direct,
304,1685412000,1901.21,1895.64,1898.31,2628.03,4989130.04,1900.02,direct,
